"Call Number","URL","Author (?)","Recipient (?)"
"Ms.A.1.2.25.111","http://archive.org/details/copyoflettertoma00turg","Turgenev, Nikolai,","Chapman, Maria Weston,"
"Ms.A.7.3.126","http://archive.org/details/extractoflettert00west","Weston, Caroline,","Estlin, Mary Anne,"
"Ms.A.9.2.31.20","http://archive.org/details/incompleteletter00rick3","Ricketson, Joseph.","Weston, Deborah,"
"Ms.A.9.2.22.85","http://archive.org/details/incompleteletter00webb2","Webb, Richard Davis,","Chapman, Maria Weston,"
"Ms.A.1.2.15.78","http://archive.org/details/incompleteletter00webb","Webb, Richard Davis,","Chapman, Maria Weston,"
"Ms.A.1.2.14.16","http://archive.org/details/letterformwchapm00webb","Webb, Richard Davis,","Chapman, Maria Weston,"
"Ms.A.9.2.29.36","http://archive.org/details/lettertoannewarr00webb4","Webb, Richard Davis,","Weston, Anne Warren,"
"Ms.A.9.2.28.71","http://archive.org/details/lettertoannewwes00webb","Webb, Richard Davis,","Weston, Anne Warren,"
"Ms.A.9.2.18.49","http://archive.org/details/lettertocaroline00west3","Weston, Anne Warren,","Weston, Caroline,"
"Ms.A.9.2.6.36A","http://archive.org/details/lettertochereexc00scho","Schoelcher, Victor,","Chapman, Maria Weston,"
"Ms.A.9.2.26.72","http://archive.org/details/lettertodearcaro00chap14","Chapman, Maria Weston,","Weston, Caroline,"
"Ms.A.9.2.26.74","http://archive.org/details/lettertodearcaro00chap15","Chapman, Maria Weston,","Weston, Caroline,"
"Ms.A.9.2.19.85","http://archive.org/details/lettertodearcaro00chap6","Chapman, Maria Weston,","Weston, Caroline,"
"Ms.A.9.2.4.89","http://archive.org/details/lettertodearcaro00chap","Chapman, Maria Weston,","Weston, Caroline,"
"Ms.A.9.2.19.40","http://archive.org/details/lettertodearcaro00west24","Weston, Anne Warren,","Weston, Caroline,"
"Ms.A.9.2.3.82","http://archive.org/details/lettertodeardebo00chap9","Chapman, Maria Weston,","Weston, Deborah,"
"Ms.A.9.2.31.24","http://archive.org/details/lettertodeardebo00rick12","Ricketson, Joseph.","Weston, Deborah,"
"Ms.A.9.2.31.44","http://archive.org/details/lettertodeardebo00rick15","Ricketson, Joseph.","Weston, Deborah,"
"Ms.A.9.2.30.73","http://archive.org/details/lettertodeardebo00rick2","Ricketson, Joseph.","Weston, Deborah,"
"Ms.A.9.2.3.104","http://archive.org/details/lettertodeardebo00west49","Weston, Caroline,","Weston, Deborah,"
"Ms.A.9.2.3.10","http://archive.org/details/lettertodearemma00west5","Weston, Lucia,","Weston, Deborah,"
"Ms.A.9.2.28.49","http://archive.org/details/lettertodearesta00estl4","Estlin, Mary Anne,","Weston, Anne Warren,"
"Ms.A.7.3.57","http://archive.org/details/lettertodearestm00estl11","Estlin, Mary Anne,","Weston, Caroline,"
"Ms.A.7.3.78","http://archive.org/details/lettertodearestm00estl13","Estlin, Mary Anne,","Weston, Caroline,"
"Ms.A.7.3.62","http://archive.org/details/lettertodearestm00estl17","Estlin, Mary Anne,","Chapman, Maria Weston,"
